id,time_mt,time_rt,time_et,time_at,lng,lat,speed,course,accum_trip,it,route_dir,route_flag,route_sn,route_dist,route_code
8470,2022-08-02 14:49:09,2022-08-02 14:52:09,2022-08-02 14:52:09,2022-08-02 14:49:09,113.997344,22.610702,0,0,61936.8,,1,0,1,533,201
18447,2022-08-02 14:52:09,2022-08-02 14:52:12,2022-08-02 14:52:09,2022-08-02 07:24:20,113.99826000000002,22.60604,11,270,42282.2,,1,0,2,134,201
8345,2022-08-02 15:08:06,2022-08-02 15:08:09,2022-08-02 15:08:06,2022-08-02 06:48:47,113.998558,22.601713,22,316,54609.5,,2,0,7,150,201
8371,2022-08-02 15:04:57,2022-08-02 15:08:00,2022-08-02 15:07:57,2022-08-02 13:47:56,113.997528,22.610565,0,60,74917.4,,1,0,1,519,202
8470,2022-08-02 15:08:02,2022-08-02 15:08:06,2022-08-02 15:08:02,2022-08-02 14:49:09,113.998718,22.600923,23,166,61938.9,,1,1,8,134,201
18447,2022-08-02 15:08:09,2022-08-02 15:08:12,2022-08-02 15:08:09,2022-08-02 07:24:20,113.991905,22.600147,15,201,42286.4,,2,0,1,0,202
8345,2022-08-02 15:52:07,2022-08-02 15:52:07,2022-08-02 15:52:07,2022-08-02 06:48:47,113.99726799999999,22.597995,24,38,54613.9,0.0,2,1,5,328,201
8371,2022-08-02 15:52:08,2022-08-02 15:52:11,2022-08-02 15:52:08,2022-08-02 13:47:56,113.994964,22.606191,25,70,74923.5,0.0,2,1,10,80,201
8411,2022-08-02 15:52:07,2022-08-02 15:52:07,2022-08-02 15:52:07,2022-08-02 15:20:48,113.998268,22.606008,9,252,51380.6,0.0,1,0,2,135,201
8421,2022-08-02 15:52:05,2022-08-02 15:52:08,2022-08-02 15:52:05,2022-08-02 14:24:29,113.990692,22.603507,4,241,66066.5,0.0,2,0,1,0,201
8458,2022-08-02 15:50:59,2022-08-02 15:51:58,2022-08-02 15:51:58,2022-08-02 15:50:59,113.997299,22.61062,0,0,66288.0,0.0,2,0,6,0,202
8470,2022-08-02 15:52:08,2022-08-02 15:52:11,2022-08-02 15:52:08,2022-08-02 14:49:09,113.99216399999999,22.60267,20,40,61948.1,0.0,2,1,2,260,202
18447,2022-08-02 15:51:56,2022-08-02 15:51:59,2022-08-02 15:51:56,2022-08-02 07:24:20,113.997528,22.610661999999998,8,136,42292.6,0.0,1,0,1,523,202
8267,2022-08-02 14:27:43,2022-08-02 14:27:50,2022-08-02 14:27:43,2022-08-02 13:27:52,113.994644,22.603855,22,315,75417.8,,1,1,7,414,201
8330,2022-08-02 14:28:00,2022-08-02 14:28:03,2022-08-02 14:28:00,2022-08-02 11:58:18,113.99879399999999,22.600896,27,163,70790.9,,1,1,8,127,201
8345,2022-08-02 14:28:05,2022-08-02 14:28:05,2022-08-02 14:28:05,2022-08-02 06:48:47,113.99771100000001,22.598613,23,38,54600.1,,2,1,5,246,201
8421,2022-08-02 14:27:54,2022-08-02 14:27:58,2022-08-02 14:27:54,2022-08-02 14:24:29,113.996421,22.606174,13,289,66058.8,,1,1,3,132,202
